Cores,Time
1,Execution times: [0.9822702407836914]
2,Execution times: [0.5856692790985107, 0.5864498615264893]
3,Execution times: [0.579291820526123, 0.5807154178619385, 0.6185979843139648]
4,Execution times: [0.588371992111206, 0.5877079963684082, 0.5892953872680664, 0.5857422351837158]
5,Execution times: [0.5876944065093994, 0.5895438194274902, 0.586155891418457, 0.5853853225708008, 0.5852465629577637]
6,Execution times: [0.5896270275115967, 0.58953857421875, 0.587151288986206, 0.5885031223297119, 0.5875778198242188, 0.5900723934173584]
7,Execution times: [0.5919637680053711, 0.59232497215271, 0.5917494297027588, 0.5919437408447266, 0.5901486873626709, 0.591280460357666, 0.5923337936401367]
8,Execution times: [0.5907387733459473, 0.5910453796386719, 0.5904557704925537, 0.5915737152099609, 0.5906946659088135, 0.5911037921905518, 0.5915842056274414, 0.590745210647583]
9,Execution times: [0.5902042388916016, 0.5871226787567139, 0.5910892486572266, 0.59165358543396, 0.5873439311981201, 0.5911900997161865, 0.5894830226898193, 0.5885632038116455, 0.5890631675720215]
10,Execution times: [0.5953059196472168, 0.5891950130462646, 0.5905721187591553, 0.5957717895507812, 0.5867483615875244, 0.5950968265533447, 0.5924828052520752, 0.591461181640625, 0.5902094841003418, 0.5898396968841553]
11,Execution times: [0.6016788482666016, 0.5967164039611816, 0.5982422828674316, 0.6024010181427002, 0.5978593826293945, 0.5973081588745117, 0.5970959663391113, 0.5973474979400635, 0.5974783897399902, 0.5982859134674072, 0.5916798114776611]
12,Execution times: [0.5952451229095459, 0.5941176414489746, 0.5951330661773682, 0.5948011875152588, 0.5945537090301514, 0.5948977470397949, 0.5972146987915039, 0.592639684677124, 0.5972278118133545, 0.5986390113830566, 0.5926558971405029, 0.5951836109161377]
13,Execution times: [0.5950894355773926, 0.6005444526672363, 0.5986905097961426, 0.600907564163208, 0.6015546321868896, 0.5959351062774658, 0.601895809173584, 0.5940449237823486, 0.5971283912658691, 0.6005854606628418, 0.5975756645202637, 0.5995223522186279, 0.595350980758667]
14,Execution times: [0.5986840724945068, 0.598459005355835, 0.5943863391876221, 0.5977349281311035, 0.6002593040466309, 0.5960440635681152, 0.5997276306152344, 0.6031224727630615, 0.5990440845489502, 0.6031908988952637, 0.60005784034729, 0.6004211902618408, 0.6033291816711426, 0.5977263450622559]
15,Execution times: [0.5997393131256104, 0.5983574390411377, 0.5982887744903564, 0.6003196239471436, 0.6015479564666748, 0.6054320335388184, 0.6047840118408203, 0.6002671718597412, 0.6001377105712891, 0.6030583381652832, 0.6064457893371582, 0.6033048629760742, 0.6019222736358643, 0.5993988513946533, 0.6045634746551514]
16,Execution times: [0.5986132621765137, 0.6022107601165771, 0.5990574359893799, 0.6025800704956055, 0.6009798049926758, 0.6079928874969482, 0.6048333644866943, 0.6014282703399658, 0.6007707118988037, 0.6443705558776855, 0.6004717350006104, 0.5979859828948975, 0.6022751331329346, 0.6023273468017578, 0.6064610481262207, 0.6021485328674316]
17,Execution times: [0.6021780967712402, 0.6032989025115967, 0.6033828258514404, 0.6027348041534424, 0.6010611057281494, 0.6351902484893799, 0.601097822189331, 0.6009562015533447, 0.6063282489776611, 0.60133957862854, 0.6000967025756836, 0.598146915435791, 0.6040353775024414, 0.6061768531799316, 0.6061933040618896, 0.6014909744262695, 0.6024835109710693]
18,Execution times: [0.6048274040222168, 0.6039061546325684, 0.6060044765472412, 0.6053051948547363, 0.6079120635986328, 0.6085445880889893, 0.6028945446014404, 0.6021051406860352, 0.6088531017303467, 0.6031453609466553, 0.606032133102417, 0.6282107830047607, 0.6054980754852295, 0.6029748916625977, 0.6068427562713623, 0.6054327487945557, 0.6012840270996094, 0.6085314750671387]
19,Execution times: [0.603618860244751, 0.6059389114379883, 0.6051161289215088, 0.6076457500457764, 0.6029736995697021, 0.6087594032287598, 0.6022922992706299, 0.6021959781646729, 0.6093451976776123, 0.6056561470031738, 0.6062486171722412, 0.6065435409545898, 0.6049225330352783, 0.6055421829223633, 0.6322154998779297, 0.6093237400054932, 0.6042201519012451, 0.6053104400634766, 0.6073150634765625]
20,Execution times: [0.6075701713562012, 0.6105051040649414, 0.6057219505310059, 0.6095435619354248, 0.6103136539459229, 0.6045928001403809, 0.6093840599060059, 0.6075317859649658, 0.6025841236114502, 0.6342110633850098, 0.6078152656555176, 0.6089391708374023, 0.607785701751709, 0.6069681644439697, 0.6149742603302002, 0.607072114944458, 0.6060636043548584, 0.609330415725708, 0.6095023155212402, 0.6057236194610596]
